pdf,thumb,ok,width,height,bytes,error
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Криптоанархизм_идеологическая основа технологии блокчейн.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Криптоанархизм_идеологическая основа технологии блокчейн.cover.jpg,True,397,600,52438,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Crypto_ How the Code Rebels Beat the Government — saving privacy in the digital age (Steven Levy).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Crypto_ How the Code Rebels Beat the Government — saving privacy in the digital age (Steven Levy).cover.jpg,True,395,600,53738,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Desobediencia civil (William E. Scheuerman).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Desobediencia civil (William E. Scheuerman).cover.jpg,True,464,600,51844,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\DESOBEDIENCIA-CIVIL.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\DESOBEDIENCIA-CIVIL.cover.jpg,True,600,450,54662,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Graeber - Etnografia de la accion directa.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Graeber - Etnografia de la accion directa.cover.jpg,True,415,600,71541,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La Desobediencia Civil como recurso de la Sociedad Civil para el Alcance de la Justicia.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La Desobediencia Civil como recurso de la Sociedad Civil para el Alcance de la Justicia.cover.jpg,True,464,600,20107,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil.cover.jpg,True,464,600,39239,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil_.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil_.cover.jpg,True,425,600,10109,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Las cosas por su nombre_ ¿Objeción de conciencia o _desobediencia civil_.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Las cosas por su nombre_ ¿Objeción de conciencia o _desobediencia civil_.cover.jpg,True,424,600,39398,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Diccionario incorrecto de la nueva normalidad (Carlos Rodríguez Braun).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Diccionario incorrecto de la nueva normalidad (Carlos Rodríguez Braun).cover.jpg,True,464,600,44578,
